"","V1","V2","V3","V4","V5","V6","V7","V8"
"71",2.916667,5.317277,-2.582376,20.42851,412.0275,254.1064,122.5847,0.8745975
"72",2.958333,5.133863,-2.811876,19.34534,229.633,175.8826,76.03379,0.2845742
"73",3,4.32653,-2.273985,18.58522,74.00151,94.30587,45.36854,0.3515328
"74",3.041667,3.427489,-1.769562,18.05693,2.482421,6.123455,1.79262,0.3584606
"75",3.083333,2.765946,-1.61975,16.61523,0,-0.0003237526,1.293504e-13,0.3891932
"76",3.125,2.07305,-1.862797,15.43071,0,-0.0003237526,1.293504e-13,0.548426
"77",3.166667,1.511052,-1.971172,14.45775,0,-0.0003237526,1.293504e-13,0.3653579
"78",3.208333,1.582379,-1.998266,13.9586,0,-0.0003237526,1.293504e-13,0.1400211
"79",3.25,2.026804,-1.957625,13.50506,0,-0.0003237526,1.293504e-13,0.23846
"80",3.291667,2.48769,-1.684297,13.05152,0,-0.0003237526,1.293504e-13,0.1761708
"81",3.333333,2.807488,-1.44125,12.59672,0,-0.0003237526,1.293504e-13,0.09857629
"82",3.375,2.853734,-1.540062,11.91894,0,-0.0003237526,1.293504e-13,0.1563182
"83",3.416667,3.527818,-1.912203,14.24998,21.2546,36.30064,21.07282,0.07855584
"84",3.458333,3.765315,-1.950453,15.50165,139.0337,184.0142,131.3571,0.01617506
"85",3.5,4.54208,-1.31614,16.37199,313.7092,379.6338,309.6084,0.03384554
"86",3.541667,5.634723,-0.4451552,17.44376,497.0459,542.7472,432.7461,0.3578197
"87",3.583333,5.934926,-0.005279861,20.50199,665.0352,685.622,524.4176,0.6108068
"88",3.625,6.028201,-0.24753,22.12612,802.3656,741.6997,507.5975,0.7377657
"89",3.666667,6.080716,-0.7511554,22.92805,897.7304,830.7656,609.5099,0.7039202
"90",3.708333,6.348783,-0.9081399,23.16115,941.5805,862.4085,573.7338,0.7615705
"91",3.75,6.683473,-0.94639,24.08597,930.8354,927.3205,720.7477,0.6762089
"92",3.791667,6.7258,-0.8364211,23.96182,866.9085,569.6517,291.377,0.6499931
"93",3.833333,6.561198,-0.6204678,23.92888,754.656,807.6559,663.1931,0.2285108
"94",3.875,6.061905,-0.4252333,22.81656,601.4163,544.9759,369.89,0.186242
"95",3.916667,5.900438,0.2011109,18.82972,422.4102,427.841,302.9146,0.03845391
"96",3.958333,5.766405,0.315861,19.61518,237.3158,289.3432,221.7891,0.03000015
"97",4,5.296897,0.1644546,18.4978,77.19061,98.70295,59.46159,0.001556468
"98",4.041667,4.818768,-0.06504553,17.50077,2.6455,6.806106,2.746141,0
"99",4.083333,4.288122,0.0154389,15.07852,0,-0.0003237526,1.293504e-13,0
"100",4.125,3.721421,-0.2100769,13.96747,0,-0.0003237526,1.293504e-13,0
"101",4.166667,3.377325,-0.2570926,12.93497,0,-0.0003237526,1.293504e-13,0.008453756
"102",4.208333,2.975225,-0.2746238,11.67443,0,-0.0003237526,1.293504e-13,0.01998993
"103",4.25,2.109105,-0.4491396,10.77115,0,-0.0003237526,1.293504e-13,0.01001022
"104",4.291667,1.718764,-1.22689,9.411801,0,-0.0003237526,1.293504e-13,0.01153617
"105",4.333333,1.004704,-1.587078,7.377206,0,-0.0003237526,1.293504e-13,0.01617506
"106",4.375,0.9952986,-1.463562,6.851455,0,-0.0003237526,1.293504e-13,0.007690782
"107",4.416667,0.7593691,-0.8746711,9.71205,21.67135,37.08368,21.39702,0.007690782
"108",4.458333,0.7758293,-0.7320304,12.07223,143.763,195.0571,143.4287,0.01232967
"109",4.5,0.9067271,0.5365956,13.30616,323.4576,379.0716,306.7669,0.02771123
"110",4.541667,-0.04639687,1.299206,14.796,511.6143,595.8936,517.2472,0.1061755
"111",4.583333,-0.9940341,1.076877,18.23683,683.8617,775.1496,688.2898,0.3862024
"112",4.625,-1.460406,0.4011267,19.81408,823.6745,905.9776,799.1653,0.2631804
"113",4.666667,-1.37497,0.08954834,20.86685,919.3837,1019.739,923.4472,0.5439092
"114",4.708333,-1.258181,0.2927516,23.63496,963.5961,1064.453,961.9123,0.5969512
"115",4.75,-1.640685,0.4545174,24.63452,953.0504,1048.712,933.1922,0.7546732
"116",4.791667,-2.121166,0.3580954,25.58214,884.7022,982.1334,881.3207,0.8715762
"117",4.833333,-2.393151,0.3700485,26.75907,768.1915,857.8909,761.7682,0.9830925
"118",4.875,-2.374339,0.5652831,26.85915,612.3426,689.0553,586.1868,0.9830925
"119",4.916667,-2.666704,0.5501424,24.81695,430.9447,490.4039,386.1761,1
"120",4.958333,-2.925364,0.495158,24.73081,242.8424,275.9914,176.5349,1
"121",5,-3.204404,-0.004482986,24.53824,79.22003,100.2289,41.99308,0.9899898
"122",5.041667,-2.766249,-0.4427646,23.018,2.717979,6.223845,1.354,0.9738452
"123",5.083333,-2.289687,-0.715296,20.76677,0,-0.0003237526,1.293504e-13,1
"124",5.125,-1.638333,-0.888218,19.0907,0,-0.0003237526,1.293504e-13,0.9969176
"125",5.166667,-1.632847,-1.839688,16.84453,0,-0.0003237526,1.293504e-13,0.9500099
"126",5.208333,-0.6671815,-1.724141,15.56499,0,-0.0003237526,1.293504e-13,0.9669174
"127",5.25,-0.2431354,-1.444437,16.28458,0,-0.0003237526,1.293504e-13,0.8992569
"128",5.291667,-0.01426029,-1.25239,15.05571,0,-0.0003237526,1.293504e-13,0.8284681
"129",5.333333,0.4082182,-0.9025618,13.92693,0,-0.0003237526,1.293504e-13,0.7246731
"130",5.375,0.5054117,-0.5128896,13.53293,0,-0.0003237526,1.293504e-13,0.8046633
"131",5.416667,0.3086732,-0.1072799,15.64354,19.89561,31.74294,12.35764,0.9023393
"132",5.458333,0.4231107,-0.1112643,15.96026,138.0552,166.1248,92.68227,0.9830925
"133",5.5,0.03276885,-0.4929677,17.41209,315.1044,344.4572,217.9178,0.9915462
