"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,5.569216,-2.366096,10.19295,75.97644,74.98247,25.03143,0.4230998
"2",0.04166667,4.568661,-2.070218,9.3881,2.603554,5.114272,1.368461,0.3860803
"3",0.08333333,4.38914,-2.245586,8.95259,1.293504e-13,0,0,0.106908
"4",0.125,4.723509,-2.207814,8.319777,1.293504e-13,0,0,0.290739
"5",0.1666667,4.572915,-2.344512,8.151348,1.293504e-13,0,0,0.529199
"6",0.2083333,4.443592,-2.358002,8.403992,1.293504e-13,0,0,0.4615232
"7",0.25,4.624815,-2.282458,8.186237,1.293504e-13,0,0,0.4284406
"8",0.2916667,4.715852,-2.055828,8.443693,1.293504e-13,0,0,0.3345643
"9",0.3333333,4.564407,-1.772541,8.612122,1.293504e-13,0,0,0.529962
"10",0.375,4.377229,-1.491052,7.938405,1.293504e-13,0,0,0.4763249
"11",0.4166667,4.225784,-1.449683,11.05675,24.77928,34.61194,19.84269,0.4101598
"12",0.4583333,6.538291,-1.196972,12.23335,147.9656,172.5966,114.9697,0.2162422
"13",0.5,8.115697,-0.2625728,13.10798,324.5885,289.5,145.475,0.5584972
"14",0.5416667,8.254379,0.1771975,13.9393,509.9142,378.8991,184.7422,0.5232173
"15",0.5833333,8.077411,-0.0008689719,14.98477,679.4548,416.5917,201.2208,0.6785589
"16",0.625,8.029765,-0.003566949,16.6041,816.46,688.836,461.3995,0.7154258
"17",0.6666667,7.94043,-0.5692429,17.25977,909.1501,756.7914,526.8955,0.6639098
"18",0.7083333,8.144625,-0.6906518,18.83578,949.66,780.7721,465.923,0.5815696
"19",0.75,8.343715,-0.8336446,19.22437,934.4392,837.7338,523.9305,0.6284467
"20",0.7916667,8.56918,-1.371441,17.74821,862.6321,618.0819,375.5285,0.7538492
"21",0.8333333,8.252678,-1.93352,17.45466,745.108,634.8945,434.1063,0.1485969
"22",0.875,8.038273,-2.206915,16.51146,590.0418,467.3518,321.7214,0.3331604
"23",0.9166667,8.061245,-2.224002,15.54901,411.7075,348.1128,252.6711,0.7129233
"24",0.9583333,7.155981,-2.891302,15.15079,228.6758,212.9067,105.1814,1
"25",1,6.237955,-3.543313,13.94893,73.30006,45.30359,4.352466,1
"26",1.041667,5.9189,-4.211512,13.20062,2.439694,1.932953,0.0190064,1
"27",1.083333,5.014487,-4.658477,13.13084,1.293504e-13,0,0,1
"28",1.125,4.616307,-4.872517,12.88782,1.293504e-13,0,0,0.9899898
"29",1.166667,6.319633,-5.457078,12.95038,1.293504e-13,0,0,0.9915462
"30",1.208333,6.645494,-4.909389,12.88542,1.293504e-13,0,0,1
"31",1.25,6.458315,-4.710638,12.86737,1.293504e-13,0,0,1
"32",1.291667,5.677269,-5.502045,12.90226,1.293504e-13,0,0,1
"33",1.333333,5.452655,-5.813211,12.90827,1.293504e-13,0,0,1
"34",1.375,5.737677,-5.444488,11.21195,1.293504e-13,0,0,1
"35",1.416667,6.771414,-5.030798,13.84787,22.23035,21.94707,2.014679,1
"36",1.458333,6.092466,-4.93547,14.34834,139.3357,129.3669,44.30393,1
"37",1.5,7.475036,-4.651283,16.50544,311.7892,290.3255,157.5251,1
"38",1.541667,8.232258,-4.077513,17.71573,493.2187,463.7275,304.5206,0.9800101
"39",1.583333,8.528341,-3.792426,20.10261,660.1557,609.4843,439.2,0.9138449
"40",1.625,8.656814,-3.719581,22.842,795.413,763.2144,579.0871,0.8899791
"41",1.666667,9.258338,-3.586481,23.0393,886.7923,845.8683,663.3615,0.8284681
"42",1.708333,8.912908,-3.672816,23.7852,927.1747,871.2987,701.8685,0.7460974
"43",1.75,8.584495,-3.765447,23.57466,914.0659,886.6415,742.3711,0.4268536
"44",1.791667,8.445812,-3.462374,24.20146,848.7404,819.0889,673.682,0.2445943
"45",1.833333,8.367537,-3.050483,23.71903,736.1321,731.0388,606.9125,0.3815635
"46",1.875,7.9617,-2.697048,22.23685,585.5083,623.921,502.5293,0.8183968
"47",1.916667,7.785582,-2.274365,20.13991,410.3784,430.7264,319.7447,0.910671
"48",1.958333,6.8097,-2.465022,19.05835,229.222,244.0555,140.0012,0.7614484
"49",2,5.581128,-2.728524,18.2162,73.64598,93.40593,42.53633,0.6099217
"50",2.041667,5.057027,-3.005516,17.67122,2.457901,5.577375,1.368461,0.4730289
"51",2.083333,4.287893,-3.287005,16.67387,1.293504e-13,0,0,0.2807593
"52",2.125,3.631066,-3.769943,15.55502,1.293504e-13,0,0,0.5330444
"53",2.166667,3.407303,-3.970493,15.55382,1.293504e-13,0,0,0.9722888
"54",2.208333,3.560449,-3.58738,14.86446,1.293504e-13,0,0,0.9230922
"55",2.25,3.58257,-3.097248,14.38444,1.293504e-13,0,0,0.9715563
"56",2.291667,3.381778,-2.886805,14.26052,1.293504e-13,0,0,0.964598
"57",2.333333,3.059321,-2.860725,13.82501,1.293504e-13,0,0,0.9077106
"58",2.375,2.62966,-2.928174,12.62194,1.293504e-13,0,0,0.8085087
"59",2.416667,2.854275,-3.367945,15.7042,21.84801,30.30307,11.06173,0.6393115
"60",2.458333,3.432827,-3.709688,16.7232,139.7908,167.4823,110.5983,0.3523263
"61",2.5,3.915238,-3.970493,17.83844,314.0469,350.0256,260.7298,0.1038256
"62",2.541667,4.425725,-4.211512,19.58289,497.5519,573.926,483.2568,0.1292479
"63",2.583333,5.111479,-4.223204,23.08502,666.6191,751.657,660.2445,0.1754383
"64",2.625,5.722363,-3.926426,25.01113,803.6425,900.1118,804.199,0.2445943
"65",2.666667,6.268584,-3.546011,26.15404,896.8606,996.84,896.7221,0.1799857
"66",2.708333,6.664212,-3.388629,27.2765,939.0637,1035.479,918.0473,0.09460882
"67",2.75,6.794386,-3.501045,27.83472,926.6467,1025.955,920.5372,0.0500206
"68",2.791667,7.007089,-3.492052,27.64825,862.9052,959.6307,858.8804,0.0500206
"69",2.833333,7.502262,-3.295999,26.95648,749.7507,843.4924,750.1067,0.0392474
"70",2.875,7.63669,-3.017208,25.97238,597.1424,655.5328,557.7429,0.01309264
"71",2.916667,7.359325,-2.858027,23.3136,419.7184,461.8147,375.3575,0.03000015
"72",2.958333,6.63103,-2.790578,22.2958,236.1769,289.4396,225.0358,0.01153617
"73",3,5.507958,-2.655679,20.78355,76.92319,108.2051,70.01959,0.04617521
"74",3.041667,4.418918,-2.632296,19.45657,2.639967,6.463312,2.489839,0.0845986
"75",3.083333,3.922895,-2.956953,18.1368,1.293504e-13,0,0,0.07770131
"76",3.125,3.762942,-3.421904,16.6859,1.293504e-13,0,0,0.1185052
"77",3.166667,3.585973,-3.565796,16.0579,1.293504e-13,0,0,0.07153648
"78",3.208333,3.369016,-3.524427,15.64525,1.293504e-13,0,0,0.01846398
"79",3.25,3.388585,-3.510937,15.28553,1.293504e-13,0,0,0.2346146
"80",3.291667,3.369016,-3.369743,15.02567,1.293504e-13,0,0,0.6699831
"81",3.333333,3.26862,-3.124227,13.88998,1.293504e-13,0,0,0.9069171
"82",3.375,3.367315,-2.751007,12.61833,1.293504e-13,0,0,0.85769
"83",3.416667,3.795273,-2.57384,14.5673,21.04691,26.71905,5.910992,0.4469962
"84",3.458333,4.486133,-3.033396,15.01725,137.424,143.4211,64.03257,0.4738529
"85",3.5,4.854534,-3.283408,15.59111,310.1871,245.626,129.2435,0.5623121
"86",3.541667,5.034906,-3.194375,16.13249,492.1445,328.2597,147.2996,0.4330795
"87",3.583333,6.324738,-3.166496,19.17986,658.863,478.5468,289.2395,0.5223017
"88",3.625,7.423987,-3.34726,22.15625,793.2282,689.6414,421.0299,0.876917
"89",3.666667,7.580536,-3.203368,21.61006,885.0991,404.7725,82.48779,0.814582
"90",3.708333,7.068347,-2.581035,21.59562,925.9367,540.945,208.7473,0.6477652
"91",3.75,7.033464,-2.672766,20.96401,913.0646,540.0792,193.6753,0.4077793
"92",3.791667,7.217239,-2.729423,21.16492,848.3216,614.2965,325.3896,0.3961821
"93",3.833333,6.967951,-2.443438,18.81774,735.5859,466.7478,230.9088,0.3739032
"94",3.875,6.847136,-2.508189,18.31365,585.035,454.3044,255.6361,0.488502
"95",3.916667,6.3375,-2.715034,16.51026,410.433,305.1851,172.027,0.5739093
"96",3.958333,5.941021,-2.489303,15.85338,230.3144,224.6655,142.8331,0.7061786
"97",4,5.600696,-2.217707,14.87408,74.92045,79.31148,22.97874,0.9615461
"98",4.041667,5.326735,-1.896648,14.46264,2.548934,2.979969,0.05701921,0.9969176
"99",4.083333,4.848578,-1.366945,13.2728,1.293504e-13,0,0,0.9623091
"100",4.125,4.27428,-0.787779,11.20233,1.293504e-13,0,0,0.9269071
"101",4.166667,4.166227,-0.470317,11.06397,1.293504e-13,0,0,0.9915462
"102",4.208333,3.617453,-0.2679687,10.16288,1.293504e-13,0,0,1
"103",4.25,3.200555,-0.4811089,9.398928,1.293504e-13,0,0,1
"104",4.291667,3.066127,-0.5980213,9.025977,1.293504e-13,0,0,0.9577007
"105",4.333333,3.251604,-0.4838069,7.476427,1.293504e-13,0,0,0.8246227
"106",4.375,3.364762,-0.1483584,6.521192,1.293504e-13,0,0,0.5700639
"107",4.416667,3.93906,0.2203652,9.385694,21.50208,22.57125,8.324805,0.3892543
"108",4.458333,4.610351,0.4532905,9.426599,145.18,162.4486,95.29811,0.04236034
"109",4.5,5.067237,0.07917102,10.14483,327.9386,365.8718,295.5116,0.004608365
"110",4.541667,5.810847,-0.03953998,11.3888,518.3439,578.1342,489.9471,0.04620573
"111",4.583333,6.722918,0.4604852,13.0767,691.6896,767.7649,657.3935,0.08542261
"112",4.625,7.682634,1.606226,14.82356,832.5182,902.1052,769.6643,0.4484611
"113",4.666667,8.273948,2.192587,15.2314,929.8329,955.1204,771.4509,0.7522927
"114",4.708333,8.855053,2.253741,15.56104,974.9672,860.8688,574.9627,0.9669174
"115",4.75,9.225156,2.117043,16.16257,959.5644,927.6363,641.4661,0.8230968
"116",4.791667,9.411484,2.239352,15.86301,883.3513,662.0364,298.7046,0.7515908
"117",4.833333,9.521239,2.310398,16.11084,763.4421,608.9809,329.8181,0.7845818
"118",4.875,9.133268,1.384992,15.56585,607.1014,500.6952,250.2383,0.532312
"119",4.916667,8.797198,0.4847669,12.88301,426.4731,331.1592,207.2268,0.05154655
"120",4.958333,8.438155,-0.1654456,12.75188,240.0732,262.4386,198.1608,0.06775212
"121",5,7.483544,-0.8894028,11.76656,78.3251,102.4465,70.60879,0
"122",5.041667,6.916052,-1.038691,10.86426,2.676381,6.785471,2.622884,0
"123",5.083333,6.083958,-1.268019,9.585403,1.293504e-13,0,0,0
"124",5.125,5.350558,-1.588179,8.603701,1.293504e-13,0,0,0.0361955
"125",5.166667,4.577169,-1.84089,7.988934,1.293504e-13,0,0,0.08240123
"126",5.208333,3.903326,-2.095399,7.590719,1.293504e-13,0,0,0.06933911
"127",5.25,3.609796,-2.222204,6.799101,1.293504e-13,0,0,0.08630766
"128",5.291667,3.364762,-2.182633,6.720901,1.293504e-13,0,0,0.3062732
"129",5.333333,3.255007,-2.129573,6.890534,1.293504e-13,0,0,0.3347474
"130",5.375,3.214168,-2.009963,6.629468,1.293504e-13,0,0,0.1817252
"131",5.416667,3.517057,-1.49375,9.333962,19.73603,29.47753,15.33817,0.1317199
