"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,3.353476,1.581664,21.78333,79.54891,102.9059,57.71265,0
"2",0.04166667,3.134082,1.561089,21.29567,2.79857,6.106637,1.69017,0
"3",0.08333333,2.834908,1.664789,20.12706,1.293504e-13,0,0,0
"4",0.125,1.851791,1.318299,13.73621,1.293504e-13,0,0,0
"5",0.1666667,1.760376,1.381671,11.80602,1.293504e-13,0,0,0
"6",0.2083333,0.9060695,-0.08000746,12.18873,1.293504e-13,0,0,0
"7",0.25,1.132943,-0.3845238,9.0989,1.293504e-13,0,0,0
"8",0.2916667,1.12297,-0.2322656,8.496037,1.293504e-13,0,0,0
"9",0.3333333,1.216047,-0.3853468,7.131597,1.293504e-13,0,0,0
"10",0.375,1.125463,-0.5046843,5.924592,1.293504e-13,0,0,0.07074298
"11",0.4166667,1.25843,-0.8116697,10.17919,25.71758,42.424,25.54245,0.7329437
"12",0.4583333,0.6476167,-0.5820479,12.60088,152.7507,199.1409,143.2656,0.9430821
"13",0.5,0.07336957,0.2269779,14.32371,334.5481,382.6826,281.4227,0.9461645
"14",0.5416667,-0.1435313,0.3635988,15.06865,523.9363,573.258,436.4436,0.9030717
"15",0.5833333,0.4415193,0.03933003,16.38957,697.4842,752.1845,599.1936,0.6569515
"16",0.625,0.8337692,-0.0388566,23.12217,838.6566,921.8805,805.3563,0.3407901
"17",0.6666667,0.9924974,0.08294994,25.04468,934.686,1030.369,919.4143,0.2230784
"18",0.7083333,1.182805,0.3759441,26.58831,977.3779,1075.453,968.1443,0.4130896
"19",0.75,1.436272,0.6689382,27.63148,963.5314,1062.071,962.4851,0.1054125
"20",0.7916667,1.722149,1.007198,28.52874,893.75,989.5775,891.593,0
"21",0.8333333,2.016336,1.275502,29.03432,775.4784,866.9812,775.5979,0
"22",0.875,2.261492,1.516646,29.43239,617.917,702.3842,618.3172,0.01690751
"23",0.9166667,1.765363,2.188228,26.64335,435.1686,509.7933,435.0193,0.22082
"24",0.9583333,2.050409,2.15613,26.33104,246.0181,302.5909,236.5668,0.2900981
"25",1,2.416065,1.635983,25.29555,80.93905,114.9781,74.38645,0.05850488
"26",1.041667,3.154027,1.011313,23.79159,2.871736,6.973255,2.772638,0.003082416
"27",1.083333,3.920244,1.024482,22.33884,1.293504e-13,0,0,0
"28",1.125,3.646832,0.7520629,17.34826,1.293504e-13,0,0,0
"29",1.166667,2.717732,-0.1096361,16.06446,1.293504e-13,0,0,0
"30",1.208333,1.724642,-0.7548815,14.84721,1.293504e-13,0,0,0
"31",1.25,1.191947,-1.264329,13.8386,1.293504e-13,0,0,0.8046023
"32",1.291667,0.9517766,-1.778715,12.86839,1.293504e-13,0,0,0.8330765
"33",1.333333,1.501093,-1.870893,12.65208,1.293504e-13,0,0,1
"34",1.375,2.512466,-1.730157,10.85245,1.293504e-13,0,0,0.9984435
"35",1.416667,2.983664,-1.763078,14.69362,24.21769,29.96888,3.950059,0.9861444
"36",1.458333,3.385886,-1.795998,15.4168,146.6597,136.3614,34.86687,0.9383822
"37",1.5,4.364018,-1.40095,16.04654,318.5249,280.6231,89.97779,0.9407627
"38",1.541667,4.84602,-0.8791571,17.82825,494.908,515.5574,364.2221,0.7723437
"39",1.583333,4.95821,-0.5343129,19.5178,663.9197,706.939,572.7966,0.09772176
"40",1.625,5.936342,0.04920624,24.94356,803.2446,882.4796,765.0581,0.05691789
"41",1.666667,6.587875,0.4022806,25.49522,899.3471,999.2111,898.6005,0.1030626
"42",1.708333,6.865442,0.2261549,26.15952,946.5204,1023.174,914.3818,0.5745807
"43",1.75,6.930263,0.3430234,26.36048,934.5396,1005.58,871.4628,0.3838524
"44",1.791667,6.981787,0.6500088,26.08145,869.3311,955.8801,839.1027,0.566127
"45",1.833333,6.994253,0.9133743,26.40144,756.1628,836.71,719.7274,0.7484473
"46",1.875,7.13636,1.066455,25.24179,603.7047,640.6527,467.9491,0.7854058
"47",1.916667,6.985111,1.035181,21.83581,425.6388,473.3349,350.2259,0.8669067
"48",1.958333,7.161291,1.278794,20.41889,240.3478,263.3512,156.1793,0.9407932
"49",2,6.417513,0.9331267,19.25413,78.5246,104.5787,55.71862,0.9623091
"50",2.041667,5.332177,0.4138028,18.58854,2.743697,6.005867,1.12045,0.9492164
"51",2.083333,4.540198,0.2631907,17.48778,1.293504e-13,0,0,0.1353517
"52",2.125,3.191424,-0.4050992,14.25843,1.293504e-13,0,0,0.1961607
"53",2.166667,2.002208,-0.7696958,14.32371,1.293504e-13,0,0,0.1707994
"54",2.208333,1.190284,-1.160629,13.09366,1.293504e-13,0,0,0.003082416
"55",2.25,1.175326,-1.442924,12.37048,1.293504e-13,0,0,0.03540201
"56",2.291667,1.139591,-1.490659,11.6857,1.293504e-13,0,0,0.006164833
"57",2.333333,1.316602,-1.696413,10.40702,1.293504e-13,0,0,0.0184945
"58",2.375,1.594169,-1.73098,7.875255,1.293504e-13,0,0,0.05621595
"59",2.416667,2.122709,-1.89476,12.81207,22.97389,37.46613,22.12413,0.1339173
"60",2.458333,2.553187,-1.860194,14.24179,145.2696,189.3662,137.9102,0.03775197
"61",2.5,2.544045,-2.360588,15.67023,323.2623,384.6778,310.6874,0.01998993
"62",2.541667,2.775074,-2.562227,17.23818,509.5045,582.8714,503.4047,0
"63",2.583333,3.227989,-2.195162,19.09413,679.1198,767.7635,680.0179,0
"64",2.625,3.510542,-1.475845,26.09809,815.6461,909.3448,816.0101,0
"65",2.666667,3.511373,-0.8701039,28.13707,907.5417,1005.298,906.7855,0
"66",2.708333,3.474807,-0.5548884,29.71398,948.6422,1046.754,944.9947,0
"67",2.75,3.559573,-0.7318371,29.79462,935.9115,1034.521,935.9362,0
"68",2.791667,3.882016,-0.9326532,30.31428,870.0628,965.937,870.0575,0
"69",2.833333,4.401415,-1.082442,30.22469,756.053,847.0087,756.0565,0
"70",2.875,5.025524,-1.113717,29.8343,602.7718,686.5029,602.7639,0
"71",2.916667,5.691185,-1.241285,27.22701,423.9194,497.701,423.9097,0
"72",2.958333,6.142439,-0.8198999,26.09425,238.4272,298.1571,238.4279,0
"73",3,5.693679,-0.7548815,25.88689,77.51857,113.8495,77.63386,0
"74",3.041667,5.440212,-1.006725,24.3663,2.670531,6.691101,2.658694,0
"75",3.083333,5.060428,-1.12277,22.21212,1.293504e-13,0,0,0
"76",3.125,4.83023,-1.079973,18.63334,1.293504e-13,0,0,0
"77",3.166667,4.607512,-1.411649,18.01384,1.293504e-13,0,0,0
"78",3.208333,4.481194,-1.967186,17.3713,1.293504e-13,0,0,0
"79",3.25,4.630781,-2.160595,16.75564,1.293504e-13,0,0,0.001556468
"80",3.291667,4.792002,-2.115329,14.39539,1.293504e-13,0,0,0
"81",3.333333,4.732168,-2.028912,13.87316,1.293504e-13,0,0,0.01232967
"82",3.375,4.48535,-1.907929,12.43064,1.293504e-13,0,0,0.01080372
"83",3.416667,4.300859,-2.154834,14.85873,21.40083,35.14843,19.48443,0.04999008
"84",3.458333,5.082035,-2.500501,17.4353,140.4956,180.0148,123.5723,0.0262158
"85",3.5,5.22248,-2.875797,18.40679,314.4642,377.1403,297.0141,0.001556468
"86",3.541667,5.64714,-2.918594,19.58052,497.0115,574.9711,480.5399,0.05539194
"87",3.583333,6.717517,-2.383633,21.00255,666.2976,737.1497,617.3677,0.05691789
"88",3.625,7.818642,-1.753201,24.00663,806.5736,907.3697,802.8496,0.06387622
"89",3.666667,8.57738,-1.492305,25.87793,901.4872,1005.156,896.6255,0.2839028
"90",3.708333,8.643032,-1.782007,25.50034,943.2829,956.9685,756.3794,0.2538416
"91",3.75,8.608128,-2.213268,24.38166,930.8082,741.9665,485.0217,0.5368288
"92",3.791667,8.716994,-2.501324,24.53781,865.7277,805.1288,593.1166,0.2631193
"93",3.833333,8.678767,-2.675804,23.68536,751.718,716.6733,548.4126,0.1284544
"94",3.875,8.62558,-2.770451,21.4531,598.9855,554.132,438.0388,0.1262265
"95",3.916667,8.268234,-2.791849,18.84454,422.5476,373.6133,246.271,0.2469443
"96",3.958333,7.129712,-2.846168,18.06888,239.7991,277.2171,209.8849,0.4646056
"97",4,6.227205,-2.739999,17.39434,77.09787,96.49696,56.3833,0.9038347
"98",4.041667,5.834124,-2.828062,17.15755,2.469327,4.877248,1.348338,1
"99",4.083333,4.490336,-3.391006,17.3521,1.293504e-13,0,0,1
"100",4.125,4.270942,-3.584415,15.64975,1.293504e-13,0,0,1
"101",4.166667,4.122186,-2.381986,14.79985,1.293504e-13,0,0,0.6160866
"102",4.208333,5.791741,-1.659377,14.00756,1.293504e-13,0,0,0.2269544
"103",4.25,6.029418,-1.415764,13.2383,1.293504e-13,0,0,0.4530389
"104",4.291667,5.525809,-1.366383,12.22969,1.293504e-13,0,0,0.1269895
"105",4.333333,4.772889,-1.414118,11.21596,1.293504e-13,0,0,0.06473075
"106",4.375,4.308338,-1.706289,9.45601,1.293504e-13,0,0,0.04159736
"107",4.416667,4.153765,-2.372933,11.99162,20.28506,34.76551,20.18708,0.006164833
"108",4.458333,5.106966,-3.180313,12.4268,138.7762,186.3431,135.0427,0.001556468
"109",4.5,6.798128,-2.723539,13.47381,316.147,368.1516,292.2854,0.2192331
"110",4.541667,8.318927,-1.64374,15.07377,503.1574,476.1565,328.0068,0.5692094
"111",4.583333,8.180144,-1.340047,16.32941,672.5898,608.8095,356.5498,0.5707964
