"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,-1.079661,3.016999,18.62999,79.39022,91.71136,47.20821,0.6737064
"2",0.04166667,-1.289119,1.474445,17.5107,2.777554,6.026576,1.651433,0.139197
"3",0.08333333,-1.594007,1.731537,13.78354,0,0,0,0.0738254
"4",0.125,-0.286306,1.649808,13.1545,0,0,0,0.09000046
"5",0.1666667,0.8264934,0.9570868,12.32935,0,0,0,0.08615507
"6",0.2083333,1.230854,0.64445,9.092447,0,0,0,0.04846413
"7",0.25,1.47347,0.1143956,7.10599,0,0,0,0
"8",0.2916667,1.221958,-0.1006414,6.659037,0,0,0,0.01998993
"9",0.3333333,1.005221,-0.3783645,4.858492,0,0,0,0.04153633
"10",0.375,0.9461841,-0.6306957,3.978593,0,0,0,0.003082416
"11",0.4166667,0.9178788,-0.5759446,9.548313,25.12675,41.72857,25.11317,0
"12",0.4583333,0.859651,-0.8243084,12.33827,149.8959,199.9113,149.9008,0
"13",0.5,0.2555368,-0.9385716,13.71987,329.2597,397.1375,329.2616,0
"14",0.5416667,-0.3971007,-0.9663439,14.84426,516.2203,595.9349,516.2152,0
"15",0.5833333,-0.8378533,-0.8687441,18.34857,687.2882,775.4593,687.2809,0
"16",0.625,-1.167003,-1.066324,20.68903,826.1108,920.1369,826.1341,0.008453756
"17",0.6666667,-1.204204,-1.386896,21.66061,920.8051,1018.412,920.9871,0
"18",0.7083333,-1.078852,-1.462278,23.99724,963.1674,1062.288,963.5827,0
"19",0.75,-0.9818056,-1.372613,24.72434,949.7947,1047.57,946.7077,0.01001022
"20",0.7916667,-0.8621149,-1.120282,25.5151,881.6434,977.1208,880.5745,0.2584499
"21",0.8333333,-0.6947098,-0.9092123,26.49814,764.8942,855.7341,764.8223,0.4462027
"22",0.875,-0.5879587,-0.6997298,27.18194,609.1304,690.1524,599.1475,0.6108068
"23",0.9166667,-1.096644,-1.041726,24.98283,428.2767,479.0034,368.2316,0.9099995
"24",0.9583333,-0.682579,-1.446408,25.15474,241.2609,232.2917,96.97898,0.9446081
"25",1,-0.1197095,-1.17662,25.38904,78.94875,80.95104,15.54625,0.8469473
"26",1.041667,0.5951994,-1.839188,23.34273,2.777554,4.972423,0.7023336,0.255398
"27",1.083333,1.726599,-1.580509,19.09477,0,0,0,0
"28",1.125,1.485601,-1.6059,16.00812,0,0,0,0
"29",1.166667,0.8200237,-1.912189,13.71733,0,0,0,0
"30",1.208333,1.285847,-1.510681,12.0403,0,0,0,0
