"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,5.909857,-1.198249,23.42519,79.27454,115.6348,76.97272,0.2222544
"2",0.04166667,5.258625,-1.383176,21.99993,2.751829,6.747019,2.72107,0.001556468
"3",0.08333333,4.679028,-1.653761,18.75204,-1.293504e-13,0,0,0.01617506
"4",0.125,4.158043,-1.793857,18.16589,-1.293504e-13,0,0,0.006164833
"5",0.1666667,4.056288,-1.891524,17.25027,-1.293504e-13,0,0,0.01309264
"6",0.2083333,4.009887,-1.828281,16.34821,-1.293504e-13,0,0,0.004608365
"7",0.25,3.600425,-1.925948,15.47084,-1.293504e-13,0,0,0
"8",0.2916667,2.862091,-2.30941,15.0229,-1.293504e-13,0,0,0.001556468
"9",0.3333333,2.324824,-2.573591,13.6655,-1.293504e-13,0,0,0.006164833
"10",0.375,1.850239,-2.784936,13.60257,-1.293504e-13,0,0,0.04617521
"11",0.4166667,2.410298,-2.861789,14.94886,24.32908,37.01904,21.3399,0.2685212
"12",0.4583333,4.642397,-3.425375,16.1952,143.7876,163.5605,106.979,0.5538584
"13",0.5,6.21675,-2.397471,16.0681,316.0959,217.2182,101.276,0.2346757
"14",0.5416667,6.93392,-0.2455959,16.72829,506.9015,349.014,197.0725,0.1515877
"15",0.5833333,6.695406,-0.1479289,18.71996,685.2601,709.2531,577.6682,0.06231975
"16",0.625,6.381186,0.2635531,20.24641,827.8085,873.53,771.1437,0.001556468
"17",0.6666667,5.466205,0.8575602,21.61245,924.0678,1023.397,922.0885,0
"18",0.7083333,4.549596,1.008864,24.25567,968.3887,1069.432,969.9868,0
"19",0.75,4.18165,0.6454148,25.52176,958.1285,1057.929,958.1893,0
"20",0.7916667,4.225608,0.2019108,26.64716,892.6314,989.6425,892.6413,0
"21",0.8333333,4.483659,-0.001428528,27.12719,775.3415,867.3801,775.3371,0
"22",0.875,5.387243,-0.3720826,26.96183,618.2321,702.9439,618.0742,0.2023561
"23",0.9166667,5.67867,-0.3528694,24.40129,434.9894,503.1804,415.4663,0.6269513
"24",0.9583333,5.278976,0.0137819,23.53625,245.988,304.4319,240.8519,0.726199
"25",1,4.570761,-0.04065541,22.35408,81.22452,117.0678,78.76192,0.1902095
"26",1.041667,4.013958,-0.1046993,21.44709,2.915845,7.025657,2.832894,0
"27",1.083333,3.463666,-0.3536699,18.05483,-1.293504e-13,0,0,0
"28",1.125,2.852322,-0.6794933,16.65548,-1.293504e-13,0,0,0
"29",1.166667,2.03177,-0.988505,15.30795,-1.293504e-13,0,0,0
"30",1.208333,1.39519,-1.260692,12.64992,-1.293504e-13,0,0,0
"31",1.25,1.14121,-1.425605,11.38384,-1.293504e-13,0,0,0
"32",1.291667,1.158305,-1.439214,10.43366,-1.293504e-13,0,0,0
"33",1.333333,1.229126,-1.359159,8.952864,-1.293504e-13,0,0,0
"34",1.375,1.358558,-1.440815,6.745241,-1.293504e-13,0,0,0
"35",1.416667,1.772091,-1.788253,10.95811,26.9169,43.88548,26.9125,0
"36",1.458333,1.528693,-1.499255,13.1645,158.3122,209.0979,158.3439,0
"37",1.5,2.058633,-1.492851,15.68926,343.5412,412.3046,343.6003,0
"38",1.541667,2.385877,-0.986904,18.00547,535.5861,616.3074,535.8271,0
"39",1.583333,2.385063,-0.5089764,23.88301,711.0471,800.2682,711.187,0
"40",1.625,2.478678,-0.005431272,25.38478,852.1011,947.4686,852.3471,0
"41",1.666667,2.760336,0.4364716,26.50772,946.2282,1045.33,946.3731,0.124609
"42",1.708333,3.161657,0.730273,29.50017,986.8861,1087.504,986.891,0.2799658
"43",1.75,3.590657,0.9832463,30.29363,971.3045,1071.582,971.776,0.2961714
"44",1.791667,4.070126,1.331485,30.61076,901.7069,998.6584,900.5436,0.2823158
"45",1.833333,4.442143,1.722153,31.41903,782.3213,874.565,782.1957,0.4100072
"46",1.875,4.636698,2.029563,31.52516,623.6264,707.6807,620.6275,0.4561519
"47",1.916667,4.519477,2.631576,27.93052,439.345,513.9278,438.2786,0.3276975
"48",1.958333,4.057916,2.545917,27.3962,248.3207,308.7508,247.7851,0.1284238
"49",2,3.2105,2.071993,26.89766,81.66189,118.6401,81.65073,0
"50",2.041667,2.345175,1.208201,26.24488,2.915845,7.04556,2.907444,0.1615064
"51",2.083333,2.090381,0.3836354,22.03078,-1.293504e-13,0,0,0.2922344
"52",2.125,1.917804,-0.2768173,20.52653,-1.293504e-13,0,0,0.1399905
"53",2.166667,1.761508,-0.683496,18.96306,-1.293504e-13,0,0,0.008453756
"54",2.208333,1.544974,-0.9276633,15.00316,-1.293504e-13,0,0,0
"55",2.25,1.403331,-1.118194,13.73707,-1.293504e-13,0,0,0
"56",2.291667,1.246221,-1.245481,12.31304,-1.293504e-13,0,0,0.1953977
"57",2.333333,1.325997,-1.319132,10.0721,-1.293504e-13,0,0,0.8123236
"58",2.375,1.438334,-1.342348,9.360083,-1.293504e-13,0,0,0.9746082
"59",2.416667,1.689873,-1.517668,9.758664,25.78701,35.68556,11.18248,1
"60",2.458333,1.541717,-1.315929,15.41038,155.3052,171.6211,82.89944,0.4839241
"61",2.5,1.427752,-1.263894,18.30904,338.2198,391.7053,302.1133,0.03155662
"62",2.541667,2.092009,-0.9981116,21.17685,527.4582,608.406,529.2294,0
"63",2.583333,2.583689,-0.3528694,25.24534,699.8393,788.7246,700.5263,0.05075306
"64",2.625,2.836855,0.2083152,26.88286,837.8499,932.1037,837.1576,0.1323608
"65",2.666667,3.155959,0.4204606,28.31306,929.5897,1026.482,923.8777,0
