"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,5.847086,-3.120873,10.74218,78.20745,108.2505,65.49274,0.02844368
"2",0.04166667,5.920739,-2.361805,10.35682,2.698074,6.582116,2.5241,0.2607389
"3",0.08333333,5.37715,-1.936089,9.446816,0,0,0,0.7791494
"4",0.125,5.137778,-1.860518,8.00955,0,0,0,0.361482
"5",0.1666667,4.650229,-1.859678,7.598158,0,0,0,0.03927792
"6",0.2083333,4.170686,-2.019217,7.198483,0,0,0,0
"7",0.25,3.739177,-2.472642,6.787092,0,0,0,0.08392718
"8",0.2916667,3.495803,-2.952098,7.095635,0,0,0,0.02539179
"9",0.3333333,3.147554,-3.445828,7.10605,0,0,0,0.1392581
"10",0.375,2.860949,-3.789256,7.186767,0,0,0,0.07010209
"11",0.4166667,3.488598,-4.085662,8.499054,25.23709,37.75096,20.86207,0.2517052
"12",0.4583333,3.853659,-4.613819,9.461137,149.3118,177.6159,114.445,0.07089558
"13",0.5,8.949306,-2.464246,9.557476,327.605,368.7402,281.0738,0.344666
"14",0.5416667,8.448948,-1.245034,11.06504,515.6075,495.0966,357.2557,0.1684495
"15",0.5833333,9.323974,-0.2558947,12.45284,688.1191,758.5432,663.7235,0.2161506
"16",0.625,9.455268,0.4645483,13.92786,828.5841,842.8146,737.2858,0.2607999
"17",0.6666667,9.473681,1.285753,13.79377,927.3116,934.9034,788.9724,0.3146049
"18",0.7083333,9.342387,1.756812,14.96285,973.2156,1010.162,829.4919,0.3099965
"19",0.75,9.006146,1.888641,14.7207,964.0935,950.903,762.5459,0.3254086
"20",0.7916667,8.808405,1.573762,13.99816,899.2296,821.448,614.8095,0.2600674
"21",0.8333333,8.590649,1.315981,13.72347,783.9466,762.8571,585.4382,0.2092534
"22",0.875,8.307246,1.156442,13.24047,627.2748,673.1783,540.8458,0.2853982
"23",0.9166667,8.056667,1.111939,11.55585,442.888,451.3509,345.687,0.2631193
"24",0.9583333,7.128002,0.9095773,10.45707,250.5905,266.7681,169.0382,0.2445943
"25",1,6.13289,0.04470974,9.41427,82.92449,114.9744,74.26973,0.3546152
"26",1.041667,5.192217,-0.9041255,8.437866,3.010097,6.683379,2.543222,0.311553
"27",1.083333,4.835962,-1.225722,7.573423,0,0,0,0.1853875
"28",1.125,4.940837,-1.166944,6.259834,0,0,0,0.1215571
"29",1.166667,5.131374,-1.154349,5.912234,0,0,0,0.04001038
"30",1.208333,5.241052,-1.093893,5.132412,0,0,0,0
"31",1.25,5.353933,-0.967941,4.834284,0,0,0,0
"32",1.291667,5.480423,-0.7706168,4.139084,0,0,0,0
"33",1.333333,5.530059,-0.679092,3.55194,0,0,0,0
"34",1.375,5.540466,-0.6093988,3.525902,0,0,0,0
"35",1.416667,5.542868,-0.2945198,5.418824,25.69595,42.36857,25.75729,0
"36",1.458333,6.722913,-0.1752857,6.706376,154.6896,205.2,153.6068,0.03540201
"37",1.5,7.358567,0.9599579,7.885872,338.3973,399.585,323.3334,0.04001038
"38",1.541667,7.451434,2.829079,9.708493,528.6023,565.2113,445.083,0.1200922
"39",1.583333,7.027931,3.975239,11.30198,702.2151,695.4359,519.6013,0.5923428
"40",1.625,7.387388,3.787151,12.76919,843.1207,721.3189,367.0844,1
"41",1.666667,7.857324,3.434487,13.75862,937.8103,818.1063,407.3171,1
"42",1.708333,8.216782,3.575552,13.00353,978.2447,842.6931,489.924,1
"43",1.75,8.432136,3.936614,13.07774,962.46,715.3848,364.8663,0.8477408
"44",1.791667,8.444144,4.72591,12.78742,892.1633,628.1161,284.076,0.6853951
"45",1.833333,7.521884,5.474062,13.20792,773.2461,655.8622,420.2244,0.9183923
"46",1.875,5.985585,5.488337,13.01915,615.528,499.8357,334.9787,0.8384936
"47",1.916667,5.90953,5.060941,11.51159,432.2058,256.2164,115.229,0.6614988
"48",1.958333,6.206543,4.771253,11.04812,244.2767,248.2369,159.2095,0.6499931
"49",2,5.57409,2.450385,10.57945,80.06123,87.79529,44.43946,0.4646056
"50",2.041667,5.444398,0.9817895,9.832171,2.826554,5.569482,1.568001,0.2515527
"51",2.083333,5.262668,0.5040132,8.793277,0,0,0,0.1593396
"52",2.125,4.947242,-0.01826605,7.018825,0,0,0,0.1786123
"53",2.166667,4.7487,-0.4414634,6.650395,0,0,0,0.1001328
"54",2.208333,4.718278,-0.6522223,6.39653,0,0,0,0.0731845
"55",2.25,4.527742,-0.7109997,5.662274,0,0,0,0.009247249
"56",2.291667,4.289972,-0.9402316,5.20011,0,0,0,0.009247249
"57",2.333333,4.354017,-1.145953,5.133714,0,0,0,0.1047411
"58",2.375,4.191501,-1.253431,4.586928,0,0,0,0.4823371
"59",2.416667,4.261951,-1.33488,6.78579,24.17254,38.31804,19.92509,0.9230922
"60",2.458333,5.072131,-1.233279,7.650233,150.4498,181.4031,109.3585,0.8861642
"61",2.5,5.662954,-0.6824507,9.364798,331.4043,384.5373,291.0364,0.7608075
"62",2.541667,5.782239,-0.3658924,11.45691,518.3239,583.1957,464.1284,0.9899898
"63",2.583333,6.114477,-0.2869627,13.59588,687.2931,739.4045,564.7865,0.9769277
"64",2.625,6.337837,-0.2349028,16.09157,823.2247,877.2846,668.8865,0.5345704
"65",2.666667,6.74693,-0.2844437,17.23722,914.5004,963.4192,796.5065,0.3253475
"66",2.708333,7.192048,-0.3146721,19.09759,953.3563,1038.82,922.3099,0.8223338
"67",2.75,7.930176,-0.7790136,19.92038,936.7457,1040.987,927.0139,1
